ordernumber,quantityordered,price_each,order_line_number,sales,order_date,days_since_lastorder,status,productline,msrp,product_code,customer_name,phone,address_line1,city,postal_code,country,contact_last_name,contact_first_name,dealsize
10220,32,? 224.42,2,"? 7,181.44",12-02-2019,659,shipped,classic cars,? 207.00,S12_1108,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland,Cassidy,Dean,large
10220,30,? 157.12,3,"? 4,713.60",12-02-2019,735,shipped,classic cars,? 151.00,S12_3148,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland,Cassidy,Dean,medium
10220,27,? 186.86,1,"? 5,045.22",12-02-2019,784,shipped,classic cars,? 173.00,S12_3891,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland,Cassidy,Dean,medium
10297,25,? 82.79,4,"? 2,069.75",16-09-2019,1021,shipped,planes,? 84.00,S18_2581,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland,Cassidy,Dean,small
10220,50,? 165.16,5,"? 8,258.00",12-02-2019,1678,shipped,classic cars,? 143.00,S18_4027,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland,Cassidy,Dean,large
10220,26,? 56.07,8,"? 1,457.82",12-02-2019,1872,shipped,classic cars,? 57.00,S24_1444,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland,Cassidy,Dean,small
10297,32,? 126.93,6,"? 4,061.76",16-09-2019,1734,shipped,planes,? 109.00,S24_1785,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland,Cassidy,Dean,medium
10297,32,? 65.51,1,"? 2,096.32",16-09-2019,1784,shipped,motorcycles,? 76.00,S24_2000,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland,Cassidy,Dean,small
10220,37,? 136.02,7,"? 5,032.74",12-02-2019,2465,shipped,classic cars,? 118.00,S24_4048,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland,Cassidy,Dean,medium
10297,23,? 72.45,5,"? 1,666.35",16-09-2019,2301,shipped,planes,? 72.00,S24_4278,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland,Cassidy,Dean,small
10297,26,? 109.88,2,"? 2,856.88",16-09-2019,2376,shipped,motorcycles,? 99.00,S32_1374,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland,Cassidy,Dean,small
10220,20,? 52.82,6,"? 1,056.40",12-02-2019,2665,shipped,trains,? 62.00,S32_3207,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland,Cassidy,Dean,small
10297,28,? 79.80,7,"? 2,234.40",16-09-2019,2503,shipped,vintage cars,? 68.00,S32_4289,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland,Cassidy,Dean,small
10220,37,? 107.65,9,"? 3,983.05",12-02-2019,2791,shipped,trucks and buses,? 115.00,S50_1392,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland,Cassidy,Dean,medium
10220,30,? 68.54,4,"? 2,056.20",12-02-2019,2819,shipped,trains,? 58.00,S50_1514,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland,Cassidy,Dean,small
10297,35,? 113.90,3,"? 3,986.50",16-09-2019,2838,shipped,planes,? 118.00,S700_2834,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland,Cassidy,Dean,medium
10225,27,? 167.33,9,"? 4,517.91",22-02-2019,624,shipped,classic cars,? 194.00,S12_1099,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,medium
10287,21,? 163.44,12,"? 3,432.24",30-08-2019,440,shipped,classic cars,? 194.00,S12_1099,"Vida Sport, Ltd",0897034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,medium
